資料版本編號,附屬路線唯一識別代碼,所屬業管機關,營運業者編號,去返程 [0: 去程; 1: 返程; 2: 迴圈; 255: 未知],站牌所屬的站位唯一代碼,站牌所屬的站位代碼,站牌所屬的站名碼,站牌唯一識別代碼,地區既用中之站牌代碼,站牌中文名稱,站牌英文名稱,上下車站別 [0: 可上下車; 1: 可上車; -1: 可下車],路線經過站牌之順序,位置緯度(WGS84),位置經度(WGS84),地理識別碼,市區鄉鎮代碼,市區鄉鎮名稱,站牌位置縣市之代碼,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
VersionID,SubrouteUID,Authority,OperatorNo,Direction,StationUID,StationID,StationNameID,StopUID,StopID,StopNameZh,StopNameEn,StopBoarding,StopSequence,PositionLat,PositionLon,Geohash,TownID,TownName,LocationCityCode,SrcUpdateTime,UpdateTime,InfoDate
1613,TPE10283,Taipei,0913,1,TPE30045,30045,,TPE18673,18673,光華國小(民安西路),Guanghua Elementary School (Minan W. Rd.),-1,52,25.01724,121.42625,wsqq745z,5,新莊區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10726,Taipei,0813,0,TPE429,429,,TPE16960,16960,華江站,HuaJiang Dispatch Station,-1,1,25.032246827412,121.488923241489,wsqqkscx,7,萬華區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE157527,Taipei,0813,0,TPE4877,4877,,TPE129793,129793,仙岩公園,Xianyan Park,0,17,24.99759,121.5493,wsqqjytm,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE159401,Taipei,0813,0,TPE2275,2275,,TPE22160,22160,青峰活動中心,Qingfong Activity Center,0,41,25.015980780143,121.550823439075,wsqqmfn8,3,大安區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10231,Taipei,0913,0,TPE1000162,1000162,,TPE10059,10059,民權吉林路口,Minquan and Jilin Intersection,0,31,25.0625939969562,121.529161500974,wsqqt6wb,4,中山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE107850,Taipei,0813,1,TPE1000295,1000295,,TPE38916,38916,三興國小(臨江街觀光夜市),Sanxing Elementary School(Linjiang St. Night Market),0,14,25.028215,121.556522,wsqqqh4z,3,大安區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE157683,Taipei,0301,0,TPE3507,3507,,TPE21341,21341,中港,Zhonggang,0,13,25.0491543957239,121.451369639862,wsqqe8n1,5,新莊區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102210,Taipei,0913,1,TPE3595,3595,,TPE20089,20089,頭前里,Touqian Li,0,21,25.05106,121.46599,wsqqs02v,5,新莊區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE102820,Taipei,0913,1,TPE3543,3543,,TPE21016,21016,盲人重建院,Institute for the Blind,0,42,25.0337008431394,121.440631678538,wsqq7mnr,5,新莊區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10142,Taipei,1407,1,TPE1165605546,1165605546,,TPE16965,16965,捷運七張站(新店區公所),MRT Qizhang Sta.(Xindian City Hall),0,27,24.974123,121.54279,wsqqjf2u,6,新店區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10754,Taipei,0813,0,TPE1000541,1000541,,TPE17920,17920,萬壽橋頭(木柵),Wanshou Qiaotou（Muzha）,-1,15,24.9913142071305,121.57111522305,wsqqnmt2,8,文山區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10783,Taipei,0813,1,TPE2309,2309,,TPE17690,17690,捷運公館站,MRT Gongguan,-1,27,25.0143047215272,121.534517055222,wsqqm9dw,5,中正區,TPE,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
1613,TPE10746,Taipei,0813,0,TPE30102,30102,,TPE37903,37903,捷運七張站(新店區公所),MRT Qizhang Sta.(Xindian City Hall),-1,23,24.9753,121.5430453,wsqqjf8g,6,新店區,NWT,2021-03-02 12:15:49,2021-03-02 23:30:09,2021-03-02
